,ds,y,ma4,var4,momentum0,rsi,MACD,upper_band,ema,diff4,lower_band,momentum1,kalman
323,1999-04-01,2054.48,2038.105,11.610795264224825,17.950000000000045,74.50777202072535,-12.608353433570072,2158.7623394318007,2047.8953428734212,-1.827499999999873,1951.30689133743,27.25999999999999,2051.0653157536235
324,1999-04-08,2054.23,2043.115,13.524295422230455,-0.25,72.31231651055495,-10.169488830001228,2159.391248545864,2052.118447624474,5.009999999999764,1951.9810591464443,17.700000000000045,2057.131444358958
325,1999-04-15,2066.56,2052.95,12.366996401759408,12.329999999999927,75.7177424628866,-7.159216119740904,2158.964299020676,2061.746149208158,9.835000000000036,1952.828777902401,12.079999999999927,2067.5427156324918
326,1999-04-21,2088.3,2065.8925,16.00833819194975,21.74000000000024,79.7957525821052,-2.984908826861556,2159.3053048864326,2079.44871640272,12.94250000000011,1952.7062335751052,34.070000000000164,2079.4256813785587
327,1999-04-29,2091.59,2075.17,17.83843229288556,3.289999999999964,78.9937258687259,0.5820260473524286,2159.324987169287,2087.5429054675733,9.277500000000146,1953.2934743691744,25.0300000000002,2078.0186523073344
328,1999-05-06,2041.7,2072.0375000000004,23.07333291199717,-49.8900000000001,51.6191672853961,-0.6098286927626759,2152.3605248123704,2056.980968489191,-3.132499999999709,1956.074090572245,-46.600000000000136,2056.287455466946
329,1999-05-13,2050.48,2068.0175,25.607403063720465,8.779999999999973,46.423376130542046,-0.8362695439323033,2145.7282223376305,2052.646989496397,-4.020000000000437,1956.5548545854465,-41.11000000000013,2056.4021282446247
330,1999-05-20,2053.12,2059.2225,22.12362895942889,2.6399999999998727,57.10852422080354,-0.7935520393625666,2134.455446888071,2052.9623298321326,-8.795000000000073,1963.142245419621,11.419999999999844,2065.3856569915088
331,1999-05-27,2100.73,2061.5075,26.60010949227753,47.61000000000013,71.14908797974564,3.046908137031096,2130.5878441923724,2084.8074432773774,2.285000000000309,1963.5844634999355,50.25,2092.737978296051
332,1999-06-03,2119.94,2081.0675,34.709955704397274,19.21000000000004,72.70401219445804,7.553514735207955,2133.635207181046,2108.2291477591257,19.559999999999945,1960.7124851266467,66.82000000000016,2108.121614278822
333,1999-06-09,2096.72,2092.6275,28.22064418709457,-23.22000000000025,61.17696867061804,9.145944238221093,2133.1671079129774,2100.556382586375,11.559999999999944,1961.2290459331768,-4.010000000000218,2105.806281846857
334,1999-06-17,2122.13,2109.88,13.015045140195282,25.41000000000031,65.85559499346158,12.316355452966944,2135.3342367949604,2114.9387941954587,17.252500000000055,1960.653455512732,2.1900000000000546,2117.098375945806
335,1999-06-24,2113.38,2113.0425,11.499218451761456,-8.75,61.119027263227885,13.96193283827506,2138.991716067052,2113.899598065153,3.162499999999909,1957.085207009872,16.66000000000031,2120.855214612159
336,1999-07-01,2142.51,2118.685,19.062204314682216,29.13000000000011,62.43747992474645,17.415853207525288,2147.977296287491,2132.973199355051,5.642499999999927,1953.557319097124,20.38000000000011,2135.806779058777
337,1999-07-08,2150.16,2132.045,17.169341862791338,7.649999999999636,63.17423185928283,20.53370132351847,2155.984862960504,2144.431066451684,13.360000000000127,1956.2959062702653,36.77999999999975,2140.719739374956
